label_id,gloss,test_samples,top1_accuracy,top3_accuracy,top5_accuracy
337,exchange,1,0.0,0.0,1.0
338,excited,1,0.0,0.0,0.0
339,exercise,1,0.0,0.0,1.0
340,expect,1,0.0,0.0,0.0
341,expensive,1,1.0,1.0,1.0
342,experience,1,0.0,0.0,0.0
343,experiment,1,0.0,0.0,1.0
344,expert,1,0.0,1.0,1.0
345,explain,1,0.0,1.0,1.0
346,face,1,0.0,0.0,0.0
347,fact,1,0.0,0.0,0.0
348,fail,1,0.0,0.0,0.0
349,family,2,0.0,0.5,0.5
350,fancy,1,0.0,0.0,0.0
351,far,2,0.0,0.0,0.0
352,fast,1,0.0,1.0,1.0
353,fat,2,0.0,0.5,0.5
354,father,1,0.0,0.0,0.0
355,fault,1,1.0,1.0,1.0
356,favorite,1,0.0,0.0,0.0
357,fear,1,0.0,1.0,1.0
358,feed,1,0.0,0.0,0.0
359,feedback,1,0.0,0.0,0.0
360,feel,1,0.0,0.0,0.0
361,few,1,0.0,0.0,1.0
362,fight,1,0.0,0.0,1.0
363,finally,1,0.0,0.0,0.0
364,find,1,0.0,0.0,1.0
365,fine,1,0.0,0.0,0.0
366,finish,1,0.0,0.0,0.0
367,first,1,0.0,0.0,0.0
368,fish,2,0.0,0.0,0.0
369,fishing,1,0.0,0.0,1.0
370,flag,1,0.0,0.0,0.0
371,floor,1,0.0,1.0,1.0
372,flower,1,1.0,1.0,1.0
373,fly,1,1.0,1.0,1.0
374,fold,1,0.0,0.0,0.0
375,follow,1,0.0,0.0,0.0
376,food,1,0.0,1.0,1.0
377,football,1,0.0,0.0,0.0
378,for,1,1.0,1.0,1.0
379,forest,1,1.0,1.0,1.0
380,forget,1,1.0,1.0,1.0
381,form,1,0.0,0.0,0.0
382,fox,1,0.0,1.0,1.0
383,france,1,0.0,0.0,0.0
384,freeze,1,0.0,0.0,0.0
385,french,1,0.0,0.0,0.0
386,friday,1,0.0,0.0,0.0
387,friend,1,0.0,0.0,0.0
388,friendly,1,0.0,1.0,1.0
389,frog,1,1.0,1.0,1.0
390,from,1,0.0,1.0,1.0
391,front,1,0.0,0.0,0.0
392,fruit,1,0.0,0.0,0.0
393,full,2,0.5,0.5,1.0
394,function,1,0.0,0.0,0.0
395,funny,1,0.0,0.0,0.0
396,future,1,1.0,1.0,1.0
397,game,1,0.0,0.0,1.0
398,garage,1,1.0,1.0,1.0
399,gather,1,0.0,0.0,0.0
400,germany,1,0.0,0.0,0.0
401,get,1,1.0,1.0,1.0
402,giraffe,1,0.0,0.0,0.0
403,girl,1,0.0,0.0,0.0
404,give,2,0.0,0.0,0.5
405,glasses,1,1.0,1.0,1.0
406,gloves,1,0.0,0.0,0.0
407,go,2,0.5,1.0,1.0
408,goal,1,0.0,0.0,1.0
409,goat,1,0.0,0.0,0.0
410,god,1,1.0,1.0,1.0
411,golf,1,0.0,0.0,0.0
412,gone,1,0.0,0.0,0.0
413,good,2,0.0,0.5,0.5
414,goodbye,1,0.0,0.0,0.0
415,gossip,1,0.0,1.0,1.0
416,government,2,0.5,1.0,1.0
417,graduate,2,0.5,1.0,1.0
418,grammar,1,0.0,0.0,1.0
419,grandfather,1,0.0,1.0,1.0
420,grandmother,1,1.0,1.0,1.0
421,grapes,1,1.0,1.0,1.0
422,great,1,1.0,1.0,1.0
423,greece,1,0.0,0.0,1.0
424,green,1,1.0,1.0,1.0
425,group,1,0.0,1.0,1.0
426,grow,1,1.0,1.0,1.0
427,guess,1,0.0,1.0,1.0
428,guilty,1,0.0,0.0,0.0
429,guitar,1,1.0,1.0,1.0
430,gum,1,0.0,1.0,1.0
431,hair,1,0.0,0.0,0.0
432,half,1,0.0,0.0,0.0
433,halloween,1,1.0,1.0,1.0
434,hamburger,1,0.0,0.0,0.0
435,hammer,1,0.0,0.0,0.0
436,happen,1,0.0,0.0,0.0
437,happy,1,0.0,0.0,0.0
438,hard,1,0.0,0.0,0.0
439,hat,1,0.0,0.0,0.0
440,hate,1,1.0,1.0,1.0
441,have,1,1.0,1.0,1.0
442,hawaii,1,0.0,0.0,0.0
443,head,1,0.0,0.0,0.0
444,headache,1,1.0,1.0,1.0
445,hear,1,0.0,0.0,0.0
446,hearing,1,0.0,1.0,1.0
447,heart,1,0.0,0.0,0.0
448,helicopter,1,0.0,1.0,1.0
449,hello,1,0.0,0.0,0.0
450,help,2,0.0,0.0,0.0
451,her,1,0.0,0.0,0.0
452,here,1,0.0,0.0,1.0
453,herself,1,0.0,0.0,0.0
454,high,1,0.0,0.0,0.0
455,highway,1,1.0,1.0,1.0
456,history,1,0.0,0.0,0.0
457,hit,1,0.0,1.0,1.0
458,home,1,0.0,0.0,0.0
459,homework,1,1.0,1.0,1.0
460,honor,1,0.0,0.0,0.0
461,hope,1,0.0,0.0,0.0
462,horse,1,0.0,1.0,1.0
463,hospital,1,0.0,1.0,1.0
464,hot,2,0.0,1.0,1.0
465,hour,1,1.0,1.0,1.0
466,house,1,0.0,0.0,1.0
467,how,1,1.0,1.0,1.0
468,humble,1,1.0,1.0,1.0
469,hungry,1,0.0,1.0,1.0
470,hurry,1,1.0,1.0,1.0
471,hurt,1,0.0,0.0,0.0
472,husband,1,0.0,0.0,1.0
473,ice cream,1,0.0,0.0,0.0
474,idea,1,0.0,0.0,0.0
475,if,1,0.0,0.0,0.0
476,ignore,1,0.0,0.0,0.0
477,important,1,1.0,1.0,1.0
478,impossible,1,0.0,0.0,0.0
479,improve,1,1.0,1.0,1.0
480,in,1,0.0,0.0,0.0
481,increase,1,0.0,0.0,0.0
482,independent,1,0.0,1.0,1.0
483,india,1,1.0,1.0,1.0
484,inform,1,0.0,1.0,1.0
485,information,1,1.0,1.0,1.0
486,inside,1,0.0,0.0,0.0
487,insurance,1,1.0,1.0,1.0
488,interest,2,0.0,0.0,0.0
489,internet,1,0.0,1.0,1.0
490,interpret,1,0.0,0.0,0.0
491,interview,1,0.0,0.0,1.0
492,introduce,1,0.0,0.0,0.0
493,invest,1,0.0,0.0,0.0
494,investigate,1,0.0,0.0,0.0
495,invite,1,0.0,0.0,0.0
496,island,1,0.0,0.0,0.0
497,israel,1,0.0,0.0,0.0
498,jacket,1,1.0,1.0,1.0
499,japan,1,0.0,0.0,0.0
500,jealous,1,0.0,0.0,0.0
501,jesus,1,0.0,0.0,0.0
502,join,1,0.0,0.0,0.0
503,jump,1,0.0,1.0,1.0
504,keep,1,0.0,0.0,0.0
505,keyboard,1,0.0,1.0,1.0
506,kill,1,0.0,0.0,0.0
507,king,1,0.0,1.0,1.0
508,kiss,1,0.0,0.0,0.0
509,kitchen,1,1.0,1.0,1.0
510,knife,1,0.0,0.0,0.0
511,know,1,0.0,1.0,1.0
512,land,1,0.0,0.0,1.0
513,language,2,0.0,0.5,0.5
514,large,1,0.0,0.0,0.0
515,last,2,0.0,0.5,0.5
516,last year,1,0.0,0.0,0.0
517,late,1,1.0,1.0,1.0
518,later,2,0.0,0.5,0.5
519,laugh,2,0.0,0.0,0.0
520,law,1,0.0,0.0,0.0
521,lawyer,1,0.0,1.0,1.0
522,lazy,1,1.0,1.0,1.0
523,lead,1,0.0,1.0,1.0
524,learn,1,1.0,1.0,1.0
525,leave,2,0.0,0.0,0.0
526,lecture,1,0.0,1.0,1.0
527,lemon,1,0.0,0.0,0.0
528,lesbian,1,0.0,0.0,0.0
529,lesson,1,0.0,0.0,0.0
530,letter,2,0.0,0.5,0.5
531,lettuce,1,1.0,1.0,1.0
532,library,1,0.0,0.0,0.0
533,lie,1,1.0,1.0,1.0
534,light,1,0.0,0.0,0.0
535,like,2,0.0,0.0,0.0
536,limit,1,0.0,0.0,0.0
537,line,1,0.0,0.0,0.0
538,lion,1,0.0,0.0,0.0
539,list,1,0.0,1.0,1.0
540,listen,1,1.0,1.0,1.0
541,live,1,0.0,0.0,0.0
542,lobster,1,0.0,0.0,0.0
543,lock,1,0.0,0.0,0.0
544,losear,1,1.0,1.0,1.0
545,loud,1,0.0,0.0,0.0
546,lousy,1,1.0,1.0,1.0
547,love,1,1.0,1.0,1.0
548,lucky,1,0.0,0.0,1.0
549,lunch,1,1.0,1.0,1.0
550,machine,1,0.0,0.0,0.0
551,mad,1,0.0,0.0,0.0
552,magazine,1,0.0,0.0,0.0
553,make,1,1.0,1.0,1.0
554,man,2,1.0,1.0,1.0
555,many,2,0.0,0.0,0.5
556,march,1,0.0,0.0,0.0
557,marry,1,0.0,0.0,0.0
558,match,1,0.0,0.0,0.0
559,math,1,0.0,1.0,1.0
560,maybe,1,0.0,0.0,0.0
561,mean,1,0.0,0.0,0.0
562,measure,1,0.0,0.0,1.0
563,meat,1,1.0,1.0,1.0
564,mechanic,1,0.0,0.0,0.0
565,medicine,1,1.0,1.0,1.0
566,meet,1,0.0,1.0,1.0
567,meeting,1,0.0,0.0,0.0
568,memorize,1,0.0,0.0,0.0
569,microwave,1,0.0,1.0,1.0
570,milk,1,0.0,0.0,0.0
571,minus,1,0.0,0.0,0.0
572,minute,1,0.0,1.0,1.0
573,mirror,1,0.0,0.0,0.0
574,miss,1,0.0,0.0,0.0
575,mom,1,0.0,1.0,1.0
576,monday,1,0.0,0.0,1.0
577,money,1,0.0,0.0,0.0
578,monkey,1,1.0,1.0,1.0
579,month,1,0.0,1.0,1.0
580,moon,1,0.0,1.0,1.0
581,more,1,0.0,1.0,1.0
582,morning,1,0.0,0.0,0.0
583,most,1,1.0,1.0,1.0
584,mother,2,0.0,0.5,0.5
585,motorcycle,1,0.0,1.0,1.0
586,mountain,1,0.0,0.0,0.0
587,mouse,1,0.0,0.0,0.0
588,mouth,1,0.0,0.0,0.0
589,move,2,0.0,0.0,0.0
590,movie,1,0.0,0.0,0.0
591,much,1,0.0,0.0,0.0
592,muscle,1,0.0,0.0,0.0
593,museum,1,0.0,0.0,0.0
594,mushroom,1,0.0,0.0,0.0
595,music,1,0.0,1.0,1.0
596,must,1,0.0,0.0,0.0
597,mustache,1,0.0,0.0,0.0
598,my,1,0.0,0.0,0.0
599,name,1,0.0,0.0,0.0
600,napkin,1,0.0,1.0,1.0
601,near,1,0.0,0.0,0.0
602,neck,1,0.0,0.0,0.0
603,necklace,1,0.0,1.0,1.0
604,need,1,0.0,0.0,0.0
605,negative,1,0.0,0.0,0.0
606,neighbor,1,0.0,0.0,0.0
607,nephew,1,0.0,0.0,0.0
608,nervous,1,0.0,0.0,0.0
609,neutral,1,1.0,1.0,1.0
610,never,1,0.0,0.0,0.0
611,new,1,0.0,0.0,1.0
612,newspaper,1,0.0,1.0,1.0
613,next,1,0.0,0.0,0.0
614,nice,1,0.0,0.0,0.0
615,niece,1,1.0,1.0,1.0
616,night,1,0.0,0.0,0.0
617,no,2,0.0,0.0,0.0
618,none,1,0.0,1.0,1.0
619,noon,1,0.0,0.0,1.0
620,north,1,0.0,0.0,0.0
621,nose,1,1.0,1.0,1.0
622,not,1,0.0,0.0,0.0
623,now,1,0.0,1.0,1.0
624,number,1,0.0,0.0,0.0
625,nurse,1,0.0,0.0,0.0
626,ocean,1,1.0,1.0,1.0
627,off,1,0.0,0.0,0.0
628,office,1,0.0,0.0,0.0
629,often,1,0.0,0.0,0.0
630,ok,1,0.0,0.0,0.0
631,old,1,0.0,0.0,0.0
632,one,1,0.0,0.0,0.0
633,onion,1,0.0,1.0,1.0
634,open,1,0.0,0.0,0.0
635,operate,1,0.0,0.0,0.0
636,opinion,1,1.0,1.0,1.0
637,orange,2,0.5,0.5,0.5
638,order,2,0.0,0.5,0.5
639,other,1,0.0,0.0,1.0
640,outside,1,0.0,1.0,1.0
641,overwhelm,1,1.0,1.0,1.0
642,owe,1,0.0,0.0,0.0
643,page,1,0.0,0.0,0.0
644,pain,1,0.0,0.0,0.0
645,paint,1,0.0,0.0,0.0
646,pants,1,0.0,1.0,1.0
647,paper,1,0.0,1.0,1.0
648,parade,1,0.0,0.0,0.0
649,parents,1,0.0,0.0,0.0
650,party,1,0.0,1.0,1.0
651,pass,1,0.0,0.0,0.0
652,past,1,0.0,1.0,1.0
653,patient,1,0.0,0.0,0.0
654,pay,1,0.0,0.0,0.0
655,peach,1,0.0,0.0,0.0
656,pencil,1,0.0,1.0,1.0
657,people,1,0.0,0.0,0.0
658,pepper,1,0.0,0.0,0.0
659,perfect,1,0.0,0.0,0.0
660,period,1,0.0,0.0,0.0
661,person,1,1.0,1.0,1.0
662,perspective,2,0.5,0.5,0.5
663,philosophy,1,0.0,1.0,1.0
664,phone,1,0.0,0.0,0.0
665,photographer,1,0.0,0.0,0.0
666,picture,1,0.0,1.0,1.0
667,pig,1,0.0,0.0,0.0
668,pillow,1,1.0,1.0,1.0
669,pink,1,0.0,1.0,1.0
670,pizza,2,0.0,0.5,0.5
671,place,1,0.0,0.0,1.0
672,plan,1,0.0,0.0,0.0
673,play,2,0.5,0.5,0.5
674,please,1,0.0,1.0,1.0
675,plus,1,0.0,0.0,0.0
676,point,1,0.0,0.0,0.0
677,police,1,0.0,0.0,0.0
678,policy,1,0.0,1.0,1.0
679,polite,1,0.0,0.0,0.0
680,poor,1,0.0,0.0,0.0
681,popular,1,1.0,1.0,1.0
682,possible,1,1.0,1.0,1.0
683,postpone,1,0.0,1.0,1.0
684,potato,1,0.0,1.0,1.0
685,power,1,0.0,0.0,0.0
686,practice,1,0.0,1.0,1.0
687,pray,1,1.0,1.0,1.0
688,predict,1,0.0,0.0,0.0
689,prepare,1,0.0,0.0,0.0
690,present,1,0.0,0.0,0.0
691,presentation,1,0.0,0.0,0.0
692,president,1,1.0,1.0,1.0
693,pretty,1,0.0,0.0,1.0
694,price,1,0.0,0.0,0.0
695,priest,1,0.0,0.0,0.0
696,print,1,0.0,1.0,1.0
697,printer,1,0.0,0.0,0.0
698,prison,1,0.0,0.0,0.0
699,private,1,0.0,1.0,1.0
700,problem,1,0.0,0.0,0.0
701,procrastinate,1,0.0,1.0,1.0
702,program,1,1.0,1.0,1.0
703,project,1,0.0,0.0,0.0
704,promise,1,0.0,0.0,0.0
705,protect,1,0.0,0.0,0.0
706,prove,1,0.0,0.0,0.0
707,provide,1,0.0,0.0,0.0
708,psychology,1,0.0,0.0,0.0
709,pull,1,0.0,0.0,0.0
710,punish,1,0.0,0.0,0.0
711,purple,1,0.0,0.0,0.0
712,push,1,0.0,0.0,1.0
713,put,1,0.0,0.0,1.0
